epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,895.55,1.68584,2.16693,1.59244,0.82061,0.74743,0.82513,0.49493,1.37389,1.03916,1.21825,0.00332341,0.00332341,0.00332341
2,1024.05,1.42014,1.22766,1.3503,0.84155,0.71256,0.80899,0.4027,1.657,1.19126,1.36557,0.00659084,0.00659084,0.00659084
3,1151.86,1.49068,1.37884,1.39577,0.81162,0.74735,0.81782,0.45242,1.50109,1.28078,1.35021,0.00979228,0.00979228,0.00979228
4,1278.73,1.50992,1.39561,1.43552,0.79818,0.71798,0.78872,0.39459,1.6469,1.34963,1.4446,0.009703,0.009703,0.009703
5,1405.54,1.46202,1.30963,1.42577,0.86879,0.8056,0.88085,0.50964,1.40274,0.96877,1.28961,0.009604,0.009604,0.009604
6,1532.43,1.4246,1.2364,1.40189,0.87342,0.8508,0.90989,0.58086,1.22589,0.89992,1.20102,0.009505,0.009505,0.009505
7,1659.37,1.39405,1.16931,1.3819,0.88743,0.87595,0.92462,0.58945,1.23808,0.82663,1.22895,0.009406,0.009406,0.009406
8,1786.42,1.36144,1.13057,1.36539,0.87992,0.84266,0.9126,0.6079,1.16144,0.87426,1.18781,0.009307,0.009307,0.009307
9,1913.31,1.34823,1.09395,1.36496,0.91488,0.87801,0.94272,0.64735,1.12243,0.70142,1.16594,0.009208,0.009208,0.009208
10,2040.2,1.33496,1.04943,1.35977,0.9196,0.87386,0.94014,0.64264,1.11185,0.71879,1.1743,0.009109,0.009109,0.009109
11,2166.84,1.31437,1.02659,1.34511,0.92275,0.90361,0.95383,0.66079,1.10613,0.65972,1.14518,0.00901,0.00901,0.00901
12,2293.78,1.28726,0.97756,1.32605,0.91256,0.90787,0.9587,0.66188,1.09032,0.6806,1.12979,0.008911,0.008911,0.008911
13,2420.75,1.28292,0.97546,1.32032,0.93981,0.92511,0.96424,0.67,1.0872,0.60515,1.12795,0.008812,0.008812,0.008812
14,2547.78,1.25742,0.93263,1.30401,0.93648,0.92561,0.96986,0.66636,1.11006,0.59424,1.14005,0.008713,0.008713,0.008713
15,2674.45,1.2423,0.92844,1.29628,0.92853,0.94344,0.97387,0.71614,0.98809,0.58339,1.08593,0.008614,0.008614,0.008614
16,2801.48,1.21382,0.90391,1.28558,0.93678,0.9236,0.96966,0.69293,1.03808,0.57913,1.0995,0.008515,0.008515,0.008515
17,2928.25,1.19022,0.89012,1.26693,0.93382,0.92511,0.96795,0.71414,0.96108,0.56058,1.08597,0.008416,0.008416,0.008416
18,3055.62,1.17634,0.88295,1.26093,0.94268,0.94781,0.97658,0.71158,0.9809,0.55546,1.08083,0.008317,0.008317,0.008317
19,3182.64,1.14661,0.85818,1.24036,0.94463,0.92915,0.97702,0.73796,0.92973,0.52397,1.04305,0.008218,0.008218,0.008218
20,3310.37,1.12178,0.83911,1.22801,0.94117,0.95688,0.98308,0.74457,0.9071,0.50511,1.04317,0.008119,0.008119,0.008119
21,3437.82,1.11963,0.83412,1.22485,0.94543,0.9531,0.98241,0.74146,0.91805,0.48921,1.03978,0.00802,0.00802,0.00802
22,3565.07,1.09402,0.8099,1.20937,0.95321,0.96596,0.98454,0.76127,0.88174,0.48097,1.02677,0.007921,0.007921,0.007921
23,3692.6,1.07847,0.79086,1.19937,0.94345,0.95386,0.98171,0.73537,0.93809,0.5011,1.04798,0.007822,0.007822,0.007822
24,3820.16,1.08249,0.7932,1.21308,0.94856,0.94175,0.98134,0.75211,0.86256,0.49579,1.03528,0.007723,0.007723,0.007723
25,3947.68,1.05382,0.75771,1.18565,0.93624,0.9584,0.97976,0.75881,0.86248,0.48619,1.02423,0.007624,0.007624,0.007624
26,4074.69,1.05857,0.77468,1.19513,0.94302,0.95143,0.97969,0.74601,0.89162,0.48987,1.02943,0.007525,0.007525,0.007525
27,4201.98,1.05057,0.7546,1.18378,0.95941,0.96823,0.98709,0.7636,0.8772,0.44712,1.02604,0.007426,0.007426,0.007426
28,4329.43,1.03465,0.74718,1.17508,0.96422,0.9531,0.98542,0.76393,0.85564,0.45524,1.01656,0.007327,0.007327,0.007327
29,4456.52,1.02833,0.74148,1.17751,0.95265,0.9587,0.9844,0.76272,0.87892,0.45798,1.01349,0.007228,0.007228,0.007228
30,4583.61,1.03198,0.73397,1.17327,0.94638,0.97463,0.9863,0.77677,0.82366,0.43879,0.99919,0.007129,0.007129,0.007129
31,4711.08,1.01723,0.72068,1.16265,0.95652,0.96518,0.9871,0.78693,0.8038,0.43144,0.97979,0.00703,0.00703,0.00703
32,4838.66,1.00862,0.71456,1.16095,0.96598,0.96653,0.98596,0.77433,0.86393,0.43202,1.00624,0.006931,0.006931,0.006931
33,4965.87,1.00803,0.70447,1.15893,0.95484,0.95955,0.98711,0.7744,0.8252,0.4336,0.98627,0.006832,0.006832,0.006832
34,5092.67,0.99559,0.705,1.15452,0.95911,0.95803,0.98766,0.7903,0.79908,0.42386,0.97788,0.006733,0.006733,0.006733
35,5219.83,0.99541,0.70012,1.1534,0.9508,0.98638,0.98741,0.78422,0.80218,0.41072,0.98198,0.006634,0.006634,0.006634
36,5346.37,0.99942,0.70472,1.15114,0.95304,0.96823,0.98375,0.77924,0.81696,0.43046,0.98657,0.006535,0.006535,0.006535
37,5473.14,0.99037,0.69359,1.14714,0.96336,0.97457,0.98869,0.77917,0.8325,0.40528,0.99286,0.006436,0.006436,0.006436
38,5600.07,0.98019,0.67762,1.13991,0.96263,0.97201,0.98708,0.79808,0.7783,0.40617,0.97138,0.006337,0.006337,0.006337
39,5727.63,0.97393,0.67604,1.13937,0.9645,0.96588,0.98704,0.80162,0.76907,0.39843,0.97022,0.006238,0.006238,0.006238
40,5856.01,0.96871,0.67011,1.13202,0.97665,0.96596,0.98912,0.78733,0.80367,0.39234,0.97513,0.006139,0.006139,0.006139
41,5984.37,0.96359,0.66685,1.12731,0.96038,0.97579,0.98899,0.80434,0.77781,0.38904,0.96281,0.00604,0.00604,0.00604
42,6112.15,0.94856,0.66075,1.11797,0.9744,0.95764,0.99004,0.79306,0.79436,0.39267,0.97593,0.005941,0.005941,0.005941
43,6239.6,0.96101,0.65697,1.12691,0.96961,0.96527,0.989,0.79291,0.80023,0.39649,0.97736,0.005842,0.005842,0.005842
44,6368.45,0.94959,0.64976,1.12499,0.96551,0.97407,0.99052,0.79896,0.79291,0.3823,0.97326,0.005743,0.005743,0.005743
